size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
10389,141,467,44,14831,108832,300,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10387,141,466,44,14830,108839,200,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10388,141,467,44,14827,108845,250,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10390,141,468,44,14827,108845,250,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10386,141,466,44,14828,108852,50,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10391,141,468,44,14828,108852,50,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
10434,144,475,46,14904,109675,11,0,0,0,0,0,0,4,Actual,2,Requirements Pages,Req Pages,6,Reqts Review,1,TSP(SM),1
10435,144,475,46,14904,109675,11,0,0,0,0,0,0,1,Plan,2,Requirements Pages,Req Pages,6,Reqts Review,1,TSP(SM),1
10438,144,476,46,14903,109684,6,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,6,Reqts Review,1,TSP(SM),1
10439,144,476,46,14903,109684,6,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,6,Reqts Review,1,TSP(SM),1
10440,144,476,46,14906,109699,13,0,0,0,0,0,0,4,Actual,2,Requirements Pages,Req Pages,6,Reqts Review,1,TSP(SM),1
10441,144,476,46,14906,109699,18,0,0,0,0,0,0,1,Plan,2,Requirements Pages,Req Pages,6,Reqts Review,1,TSP(SM),1
10436,144,475,46,14905,109708,7,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,6,Reqts Review,1,TSP(SM),1
10437,144,475,46,14905,109708,10,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,6,Reqts Review,1,TSP(SM),1
11809,160,539,52,16957,124503,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11810,160,539,52,16957,124503,1.069000005722046,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11825,160,540,52,16957,124503,3,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11826,160,540,52,16957,124503,2.878999948501587,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11813,160,539,52,16959,124507,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11814,160,539,52,16959,124507,0.2669999897480011,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11829,160,540,52,16959,124507,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11830,160,540,52,16959,124507,0.7200000286102295,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11811,160,539,52,16958,124511,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11812,160,539,52,16958,124511,1.069000005722046,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11827,160,540,52,16958,124511,3,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11828,160,540,52,16958,124511,2.878999948501587,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11815,160,539,52,16960,124515,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11816,160,539,52,16960,124515,0.2669999897480011,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11831,160,540,52,16960,124515,1,0,0,0,0,0,0,4,Actual,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11832,160,540,52,16960,124515,0.7200000286102295,0,0,0,0,0,0,1,Plan,1,Text Pages,Text Pages,\N,\N,\N,\N,1
11807,160,539,52,16954,124528,1087,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11808,160,539,52,16954,124528,650,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11801,160,539,52,16949,124540,1152,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11802,160,539,52,16949,124540,1100,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11803,160,539,52,16952,124552,897,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11804,160,539,52,16952,124552,1000,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11823,160,540,52,16955,124564,1191,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
