size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
5930,102,282,31,9181,70861,3,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5931,102,282,31,9183,70868,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5933,102,282,31,38459,70871,2.5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5935,102,282,31,9617,70950,2.5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5945,102,280,31,39371,74259,1,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5946,102,280,31,39373,74265,1,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5947,102,280,31,39374,74283,1,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5948,102,280,31,39375,74289,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5949,102,283,31,39358,74193,1,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5950,102,283,31,39360,74331,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5951,102,283,31,39361,74199,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5952,102,283,31,39362,74205,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5953,102,283,31,39359,74235,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5954,102,283,31,39369,74253,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5956,102,284,31,39363,74349,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5957,102,284,31,39364,74211,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5959,102,284,31,39365,74223,2,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5964,96,286,31,10118,74481,9.800000190734863,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
5971,96,287,31,39409,75119,44,44,0,0,0,0,44,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
5972,96,287,31,39419,74862,8,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
5988,96,287,31,10102,74377,4,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
5991,96,289,31,39420,74799,183.6999969482422,183.69999695,0,0,0,0,183.69999695,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
6007,96,289,31,10111,74418,1.399999976158142,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6009,96,289,31,10116,74458,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6024,96,290,31,10101,74365,184,153,2773,0,31,0,2926,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
6025,96,290,31,10104,74429,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6029,96,291,31,10112,74395,1.2999999523162842,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6035,96,293,31,10095,74533,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6036,96,293,31,10096,74543,5.599999904632568,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6037,96,293,31,10097,74522,4,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6038,96,293,31,10099,74501,11.199999809265137,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6047,96,294,31,10098,74514,4.199999809265137,0,0,0,0,0,0,1,Plan,62,Lines of Code,LOC,323,Code,11,Capsule,1
6048,96,294,31,10119,74451,5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6049,96,295,31,9936,74624,20,0,0,0,0,0,0,1,Plan,60,HLD Pages,HLD Pages,\N,\N,\N,\N,1
6064,96,295,31,39449,75271,3,0,0,0,0,0,0,1,Plan,62,Lines of Code,LOC,323,Code,11,Capsule,1
6065,96,295,31,10060,75204,1200,1200,0,0,0,0,1200,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
6070,96,295,31,10107,74494,2.5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6071,96,295,31,10108,74488,2.5,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6072,94,285,31,10134,75911,100,100,0,0,0,0,100,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
6073,94,285,31,10134,75911,881.301025390625,881.30102539,0,0,0,0,881.30102539,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
6074,94,281,31,10137,75942,1.5,0,0,0,0,0,0,1,Plan,61,Test Unit,Test Unit,\N,\N,\N,\N,1
6075,94,281,31,10139,75932,2,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6076,94,296,31,10142,75957,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6077,94,278,31,10142,75957,3,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6078,94,288,31,10131,75901,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6079,94,288,31,10140,75924,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6080,94,288,31,10141,75949,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6081,94,288,31,10144,75962,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6082,94,288,31,10145,75969,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6083,93,285,31,10147,75999,92,89,1867,2,3,0,1954,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
6084,93,285,31,10147,75999,127.41500091552734,124.41500092,1867,2,3,0,1989.4200439,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
6085,93,281,31,10137,76044,1.5,0,0,0,0,0,0,1,Plan,61,Test Unit,Test Unit,\N,\N,\N,\N,1
6086,93,281,31,10139,76034,2,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6087,93,278,31,10142,76059,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6088,93,282,31,10131,75989,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6089,93,282,31,10140,76026,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6090,93,282,31,10141,76051,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6091,93,282,31,10144,76067,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6092,93,282,31,10145,76074,1,0,0,0,0,0,0,1,Plan,57,Hours,Hours,\N,\N,\N,\N,1
6093,92,288,31,10149,76093,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
6095,92,296,31,10142,76399,6,0,0,0,0,0,0,1,Plan,58,Text Pages,Text Pages,\N,\N,\N,\N,1
