"element","number_of_time_records","benford_score_in_time","trailDigit_score_in_time","number_of_interrupt_in_time","number_of_inaccuracy_records_in_time","number_of_null_in_time","number_of_zero_in_time","number_of_negative_in_time","number_of_future_date_in_time","number_of_illedal_year_in_time","number_of_illegal_month_in_time","number_of_illegal_day_in_time","number_of_illegal_hour_in_time","number_of_illegal_minute_in_time","number_of_illegal_second_in_time","number_of_overlap_records","total_overlap_time","number_of_defect_records","benford_score_in_defect","trailDigit_score_in_defect","number_of_inaccuracy_records_in_defect","number_of_zero_in_deffixtime","number_of_null_in_defect","number_of_negative_in_deffixtime","number_of_future_date_in_defect","number_of_illegal_year_in_defect","number_of_illegal_month_in_defect","number_of_illegal_day_in_defect","number_of_illegal_hour_in_defect","number_of_illegal_minute_in_defect","number_of_illegal_second_in_defect","number_of_size_records","number_of_inaccuracy_records_in_size","number_of_null_in_size","number_of_negative_in_size","number_of_no_plan_records_in_size","number_of_no_actual_records_in_size","number_of_negative_in_task","number_of_future_date_in_task","number_of_illegal_year_in_task","number_of_illegal_month_in_task","number_of_illegal_day_in_task","number_of_illegal_hour_in_task","number_of_illegal_minute_in_task","number_of_illegal_second_in_task","number_of_no_start_date_in_task","number_of_no_completion_date_in_task"
87,257,92.3254830115211,88.4251968503937,38,3,0,3,0,0,0,0,0,0,0,0,42,1276964,72,93.759189508755,85,8,0,8,0,0,0,0,0,0,0,0,24,20,0,0,0,20,0,0,0,0,0,0,0,0,39,0
88,150,87.2234648668386,85,17,5,0,5,0,0,0,0,0,0,0,0,50,663604,12,70.1544993495972,40,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,14,0,0,0,0,0,0,0,0,20,0
89,185,92.4517966468945,91.4864864864865,22,0,0,0,0,0,0,0,0,0,0,0,40,720047,25,85.1544993495972,85,1,0,1,0,0,0,0,0,0,0,0,10,8,0,0,0,8,0,0,0,0,0,0,0,0,12,2
90,184,87.7774501692693,86.3114754098361,16,1,0,1,0,0,0,0,0,0,0,0,72,8219405,6,76.4136888583522,85,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,16,0,0,0,0,0,0,0,0,15,0
91,230,94.6338037256474,89.4541484716157,21,1,0,1,0,0,0,0,0,0,0,0,85,180098,15,85.1544993495972,75,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,18,0,0,0,0,0,0,0,0,7,2
92,458,91.0885652836631,89.6153846153846,44,3,0,3,0,0,0,0,0,0,0,0,149,3197262,27,59.7470221916855,85,0,0,0,0,0,0,0,0,0,0,0,35,25,0,0,0,25,0,0,0,0,0,0,0,0,93,5
93,100,87.7538950439192,84.0721649484536,3,3,0,3,0,0,0,0,0,0,0,0,49,285735,4,43.740810491245,77.5,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,8,0,0,0,0,0,0,0,0,41,3
94,131,85.3387253686822,83.8461538461539,11,1,0,1,0,0,0,0,0,0,0,0,52,57496,8,54.8455006504028,85,2,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,9,0,0,0,0,0,0,0,0,15,0
95,11643,97.7529280454288,90.078165711308,1922,129,0,129,0,0,0,0,0,0,0,0,1947,109130719,3437,96.8372578920594,85.3992901508429,74,56,18,0,0,0,0,0,0,0,0,670,206,0,3,0,203,0,0,0,0,0,0,0,0,1068,2
96,2812,96.8366754412221,88.5325697924123,354,19,0,18,0,2,0,0,0,0,0,0,471,240949609,845,96.0032410971582,85,48,41,6,0,1,0,0,0,0,0,0,246,155,0,0,0,155,0,0,0,0,0,0,0,0,558,385
