project_key,process_name,project_name,start_date_char,end_date_char,team_size,planAM,actualAM,plan_duration_weeks,actual_duration_weeks,plan_duration_days,actual_duration_days,duration_variance_schedule_days,duration_variance_schedule_percent,plan_task_hours,actual_task_hours,effort_variance,effort_variance_percent,BAC,BCWP,ACWP,CV,CPI,main_phases,phase_top_and_bottom,all_phases,plan_date,project_completed_parts_plan_hours,project_completed_parts_actual_hours,ADREM_rate_appraisal,ADREM_rate_failure,ADREM_rate_AF,ADREM_Ratio_AF,ADINJ_rate_HLDINSP,ADREM_rate_REQINSP,ADREM_rate_DLDR,ADREM_rate_DLDINSP,ADREM_rate_CR,ADREM_rate_INSP,ADREM_rate_COMPILE,ADREM_rate_UT,ADREM_rate_BIT,ADREM_rate_ST,ADREM_rate_AT,ADREM_rate_PL,planAM,actualAM,actual_production_rate_const,plan_production_rate_total,actual_production_rate_total,PT_PERCENT_MM,PT_PERCENT_LS,PT_PERCENT_PLAN,PT_PERCENT_REQ,PT_PERCENT_STP,PT_PERCENT_REQINSP,PT_PERCENT_HLD,PT_PERCENT_ITP,PT_PERCENT_HLDINSP,PT_PERCENT_DLD,PT_PERCENT_DLDR,PT_PERCENT_TD,PT_PERCENT_DLDINSP,PT_PERCENT_CODE,PT_PERCENT_CR,PT_PERCENT_COMPILE,PT_PERCENT_INSP,PT_PERCENT_UT,PT_PERCENT_BIT,PT_PERCENT_ST,PT_PERCENT_DOC,PT_PERCENT_PM,PT_PERCENT_AT,PT_PERCENT_PL,AT_PERCENT_MM,AT_PERCENT_LS,AT_PERCENT_PLAN,AT_PERCENT_REQ,AT_PERCENT_STP,AT_PERCENT_REQINSP,AT_PERCENT_HLD,AT_PERCENT_HLDINSP,AT_PERCENT_DLD,AT_PERCENT_DLDR,AT_PERCENT_TD,AT_PERCENT_DLDINSP,AT_PERCENT_CODE,AT_PERCENT_CR,AT_PERCENT_INSP,AT_PERCENT_UT,AT_PERCENT_BIT,AT_PERCENT_ST,AT_PERCENT_DOC,AT_PERCENT_PM,AT_PERCENT_AT,AT_PERCENT_PL,PDINJ_rate_PLAN,PDINJ_rate_REQ,PDINJ_rate_STP,PDINJ_rate_REQINSP,ADINJ_rate_PLAN,ADINJ_rate_REQ,ADINJ_rate_STP,ADINJ_rate_REQINSP,ADINJ_rate_HLD,ADINJ_rate_ITP,ADINJ_rate_HLDINSP,ADINJ_rate_DLD,ADINJ_rate_DLDR,ADINJ_rate_TD,ADINJ_rate_DLDINSP,ADINJ_rate_CODE,ADINJ_rate_CR,ADINJ_rate_COMPILE,ADINJ_rate_INSP,ADINJ_rate_UT,ADINJ_rate_BIT,ADINJ_rate_ST,ADINJ_rate_AT,ADINJ_rate_PL,ADINJ_rate_TOTAL,ADREM_YIELD_PLAN,ADREM_YIELD_REQ,ADREM_YIELD_STP,ADREM_YIELD_REQINSP,ADREM_YIELD_HLD,ADREM_YIELD_ITP,ADREM_YIELD_HLDINSP,ADREM_YIELD_DLD,ADREM_YIELD_DLDR,ADREM_YIELD_TD,ADREM_YIELD_DLDINSP,ADREM_YIELD_CODE,ADREM_YIELD_CR,ADREM_YIELD_COMPILE,ADREM_YIELD_INSP,ADREM_YIELD_UT,ADREM_YIELD_BIT,ADREM_YIELD_ST,ADREM_YIELD_AT,ADREM_YIELD_PL,DDDLDR,DDDLDINSP,DDCR,DDCOMPILE,DDINSP,DDUT,DDBIT,DDST,DDTOTAL
122,'TSP(SM)','/Proyecto/Proyecto Movil',2013-11-05 12:19:38,2013-12-26 20:57:37,2,0,0,4,7,29,52,23,79.3103448275862,37.0000329335531,25.9666666666667,11.0333666666667,29.8198830451504,37.0000333333333,37.0000333333333,25.9666666666667,11.0333666666667,1.42490500641849,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:HLD:Design:Design Review:Design Inspect:Code:Code Review:Code Inspect:Test,No Data,37.0000329335531,25.9666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7371074885778,0,5.36855374428888,10.7371074885778,0,0,5.36855374428888,0,0,21.4741696132284,10.7371074885778,0,5.36855374428888,10.7371074885778,8.73463171101609,0,5.36855374428888,5.36855374428888,0,0,0,0,0,0,9.88446726572529,0,6.1617458279846,12.0667522464698,0,0,4.94223363286264,0,14.0564826700899,11.0397946084724,0,9.11424903722721,12.9011553273427,6.67522464698331,6.93196405648267,6.22593068035944,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NA,NA,NaN,NA,NA,NaN,NaN,NA,NaN,NaN,NaN,NA,NaN,NaN,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
224,'TSP(SM)','/Proyecto/Proyecto Movil 2',2013-11-08 12:20:34,2013-12-09 21:05:09,1,0,0,3,5,22,32,10,45.4545454545455,25.5,15.2833333333333,10.2166666666667,40.0653594771242,25.5,25.5,15.2833333333333,10.2166666666667,1.66848418756816,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:HLD:Design:Design Review:Design Inspect:Code:Code Inspect:Test,No Data,25.5,15.2833333333333,0.746887966804979,0,0.608108108108108,0,0,0,1.45161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7647058823529,0,10.7843137254902,11.7647058823529,0,0,5.88235294117647,0,0,23.5294117647059,9.80392156862745,0,4.90196078431373,11.7647058823529,0,0,4.90196078431373,4.90196078431373,0,0,0,0,0,0,9.70556161395856,0,10.6870229007634,7.08833151581243,0,0,6.10687022900763,0,23.4460196292257,13.5223555070883,0,6.21592148309706,10.6870229007634,0,6.54307524536532,5.99781897491821,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0.923076923076923,0,0,0,0,0,0.837209302325581,0,0,0,0,0,0,0,0,0,0,0,0,0.261723009814613,NaN,0,NA,NA,NaN,NA,NA,0,100,NA,NaN,NaN,NA,NA,NaN,NaN,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
160,'TSP(SM)','/Proyecto/Catalogos',2013-11-04 12:02:16,2014-01-25 15:05:37,2,8650,9023,7,59,50,83,33,66,216.410482788086,405.2,-188.789516666667,-87.2367704922489,216.410483333333,216.410483333333,405.2,-188.789516666667,0.534083127673577,Req:HLD:DLD:Code:UT,Req:UT,Misc:Planning:Reqts:Reqts Inspect:HLD:Design:Design Review:Design Inspect:Code:Code Review:Code Inspect:Test,No Data,216.410482788086,405.2,0.0464516129032258,0,0.0433944069431051,0,0,0.236220472440945,0.109041344843253,0,0.0837598883201489,0.0163889647637258,0,0,0,0,0,0,8650,9023,65.494797967578,39.9703373356007,22.2680157946693,13.0204413425258,0,3.93679325668086,8.79901150869205,0,1.94075626369391,5.22443106663814,0,0,15.0275452691793,8.29071820153412,0,9.226555488035,12.9908064232404,8.61812829031374,0,8.82582015156038,4.09899273790622,0,0,0,0,0,0,6.47416913458374,0,8.34155972359329,3.92398815399803,0,1.04475156301415,4.95228693649227,0,12.7467917077986,9.0531424810793,0,13.8203356367226,12.3766041461007,8.8392563343205,15.0584073708457,3.36870681145114,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0.0628930817610063,0,0,0,0,0,0.116166505324298,0,0,0,0.0797607178464606,0,0,0,0,0,0,0,0,0.027147087857848,NaN,0,NA,100,NaN,NA,NA,0,66.6666666666667,NA,0,33.3333333333333,75,NA,100,NaN,NA,NA,NA,NA,0.443311537182755,0,0.332483652887066,0,0.110827884295689,0,0,0,1.21910672725258
141,'TSP(SM)','/Proyecto/AutoFactura',2013-11-11 11:32:00,2013-12-20 17:18:21,3,1100,0,5,5,36,40,4,11.1111111111111,144.829999796549,137.9,6.92999999999998,4.78492025132913,144.83,144.83,137.9,6.92999999999998,1.0502538071066,DLD:Code:UT:BIT,DLD:BIT,Misc:Design:Code:Test:Int Test:Postmortem,No Data,144.829999796549,137.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,7.59511152071552,0,15.8806877251325,0,0,0,0,0,0,0,0,38.5486431505744,0,0,0,26.2376579806536,0,0,0,11.737899622924,4.14278810220847,0,0,3.45232341850706,0,0,8.1339134638627,0,0,0,0,0,0,0,33.502538071066,0,0,0,30.7952622673435,0,0,13.2221416485376,5.29369108049311,0,0,9.05245346869712,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,NaN,NA,NA,NA,0,0,0,0,0,0,0,0,0
370,'TSP(SM)','/CashWare/CloudNodrixCompras',2014-11-26 09:20:21,2015-02-27 16:08:50,4,4528.74200439453,3010,12,61,85,94,9,10.5882352941176,561.442318952084,632.033333333333,-73.8576833333333,-13.1549904844781,561.442316666667,561.442316666667,635.3,-73.8576833333333,0.883743611941865,DLD:Code:Compile:UT:BIT:ST,DLD:ST,Planning:Design:Design Review:Design Inspect:Code:Code Review:Compile:Code Inspect:Test:Int Test:Sys Test:Postmortem,No Data,561.442318952084,632.033333333333,0.775471698113208,1.00261096605744,0.835758835758836,0.773452240566038,0,0,0.753351776973824,0.60589519650655,1.86379928315412,0.642857142857143,0,1.01941747572816,0.320142285460205,0,0,0,4528.74200439453,3010,8.07403433476395,8.06626406938348,4.76240704604188,0,0,2.49357761739988,0,0,0,0,0,0,46.5544410877355,9.92289236457687,0,11.4971295639364,15.89521268733,1.98723292907245,0.349845971385916,3.78844501449687,1.79077759570487,3.58309292487556,0.712450747828537,0,1.42490149565707,0,0,0,0,1.86962712937081,0,0,0,0,0,47.5423237171035,12.3912240915564,0,9.66193766151574,11.4419070724118,2.2071620695111,3.6917884077844,3.25932176572966,5.93059437793365,0.740994673276726,0,1.09435156373609,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.459260080980642,0,0,0,0.760543904125375,0,0,0,0,0,0,0,0,0.311692421285797,NaN,0,0,0,0,0,0,9.15492957746479,45.7364341085271,0,52.8571428571429,11.2,23.4234234234234,0,17.6470588235294,30,24.4897959183673,0,0,0,19.6013289036545,12.2923588039867,8.63787375415282,0,4.98338870431894,6.97674418604651,3.98671096345515,0,65.4485049833887
144,'TSP(SM)','/Proyecto/SICAF',2013-11-07 11:01:14,2014-01-16 14:55:23,2,0,0,11,58,78,71,-7,-8.97435897435897,77.9339497566223,65.55,12.38395,15.8903148114525,77.93395,77.93395,65.55,12.38395,1.18892372234935,No Data,No Data,Misc:Strategy:Reqts Review:Reqts Inspect,No Data,77.9339497566223,65.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,26.7794284462023,0,0,0,0,6.75944177697091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4764810577168,0,0,0,0,5.16145436053903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
134,'TSP(SM)','/Proyecto/integrIX/REQ042/REQ042MonitoreoAdapter',2013-11-06 18:35:15,2013-11-14 11:56:32,3,0,0,2,1,15,9,-6,-40,44.3066667397817,28.05,8.20333333333333,22.7113325950535,44.3066666666667,36.12,27.9166666666667,8.20333333333333,1.29385074626866,Req,Req:Req,Reqts:Reqts Review:Reqts Inspect,No Data,36.1200000762939,27.9166666666667,0.733197556008147,0,0.733197556008147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9178454660623,0,12.4059583862154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6518122400475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,1.02710413694722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427807486631016,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
135,'TSP(SM)','/Proyecto/integrIX/REQ042/REQ042_MonitoreoAdapter_Desarrollo',2013-11-28 10:58:30,2014-02-17 12:17:16,2,0,0,12,60,85,82,-3,-3.52941176470588,172.972483563423,161.283333333333,11.58915,6.70387199659403,172.972483333333,172.872483333333,161.283333333333,11.58915,1.07185584375323,DLD:Code:UT:ST,DLD:ST,Misc:Design:Design Review:Test Devel:Design Inspect:Code:Code Review:Test:Sys Test:Accept Test,No Data,172.872483563423,161.283333333333,0.444115470022206,0.336538461538462,0.392458637937668,1.31965739663741,0,0,0.0934579439252336,0.750586395621579,0.153649167733675,0,0,0.37392138063279,0,0,0,0,0,0,0,0,0,0.260156986087906,0,0,0,0,0,0,0,0,23.3222740885754,13.5757719865,10.521875843457,11.0426041694209,17.766255493213,10.4894141481274,0,0,10.3084218874319,0,2.26999497644412,0,0,0.443230420742358,0,0.341014777307017,0,0,0,0,0,0,0,14.4052908959388,6.63428748579105,10.261444662602,13.2169060659295,21.2772553477317,8.07068306293273,0,21.5562674382557,0,3.82349901829079,0,0,0.413351245220626,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.946915351506456,0,0,0,0.262263234579893,0,0,0,0.0862895493767977,0,0,0,0,0.210809135062519,NA,NA,NA,NA,NA,NA,NA,0,4.54545454545455,0,76.1904761904762,3.33333333333333,6.89655172413793,NA,NA,44.8275862068966,NA,0,0,NA,0,0,0,0,0,0,0,0,0
231,'TSP(SM)','/Proyecto/PASA - IMPUESTOS/Team Project - PASA',2013-07-22 10:40:49,2013-09-05 22:24:23,6,0,0,9,6,64,46,-18,-28.125,802.251013437907,456.583333333333,52.5930166666667,10.6025112539803,802.251016666667,496.043016666667,443.45,52.5930166666667,1.11859965422633,DLD:Code:Compile:UT,DLD:UT,Strategy:Reqts Review:Design:Design Review:Code:Code Review:Compile:Code Inspect:Test,No Data,496.043014975389,443.45,0.648594711458507,0.938526513374003,0.7980009672739,0.691077665059039,0,0,0.472027972027972,0,1.41794310722101,0.0813008130081301,3.88235294117647,0.838823718463763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03508146662261,4.51754073331131,0,0,33.4313776707366,15.3597209646347,2.95283308605446,5.76502855406859,18.0705763481121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5274685161526,4.17594451542252,0,0,41.6170834093813,8.34093812739551,2.69392224858551,22.7158240554846,0,0,0,0,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.93619972260749,0.0524475524475524,0,0,0.552583106745022,0.0525164113785558,1.41176470588235,0,0.0578499116181906,0,0,0,0,0.363569994524548,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,20,NA,NA,1.41843971631206,38.2978723404255,12.0879120879121,1.25,102.352941176471,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
266,'TSP(SM)','/Proyectos Bluit/CLOUDNODRIX',2014-04-25 17:42:09,2014-06-12 21:42:34,4,0,560,5,7,36,49,13,36.1111111111111,302.931366976102,294.933333333333,-8.88529999999997,-2.93310662998361,302.931366666667,302.931366666667,311.816666666667,-8.88529999999997,0.971504730343685,DLD:Code:Compile:UT,DLD:UT,Planning:Design:Design Review:Design Inspect:Code:Code Review:Compile:Code Inspect:Test:Postmortem,No Data,302.931366976102,294.933333333333,0.10174665083941,0.608575380359613,0.238036201338954,0.167188246720212,0,0,0.0682205798749289,0,0.285374554102259,0,0.645161290322581,0.115606936416185,0,0,0,0,0,560,3.81991814461119,0,1.89873417721519,0,0,2.03222049012347,0,0,0,0,0,0,23.2937472873859,11.6083664426099,0,9.90323329652642,23.2636523710902,11.1148773705281,0.785794052048608,9.90323329652642,7.11560517388462,0,0,0,0.979270219276436,0,0,0,0,2.14737793851718,0,0,0,0,0,25.6442133815552,9.94009945750452,0,5.43060578661844,24.0619349005425,9.50497287522604,8.44823688969259,11.7314647377939,0,0,0,2.56555153707052,0,0,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0.198325253415602,0.0341102899374645,0,0,0.126820103334899,0,0,0,0,0,0,0,0,0.0847649186256781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,12.5,0,0,43.4782608695652,61.5384615384615,20,0,100,NaN,NaN,NaN,NaN,3.57142857142857,0,14.2857142857143,1.78571428571429,0,7.14285714285714,0,0,44.6428571428571
